CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
12438966-101004240414,"2501 COMMERCE, HOUSTON TX 77003",Harris,H,SECOND WARD,0230990000021,SE,SE,MONDAY,1st Friday,MONDAY-A,494N,East End MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-08-24 00:09:06,2020-08-28 00:09:06,2020-08-24 01:04:18,-3.96,Flooding - 415995,-95.34568000000,29.75595000000,29.75595536,-95.34567096,WAP
12438967-101004240415,"3518 URBAN WOODS, HOUSTON TX 77008",Harris,C,LAZYBROOK / TIMBERGROVE,1287880010001,,,,,,492A,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-08-24 00:09:11,2020-08-28 00:09:10,2020-08-24 08:29:19,-3.65,Flooding - 415998,-95.43948000000,29.78885000000,29.78890872,-95.439334,WAP
12439485-101004245618,"2554 MUNGER, HOUSTON TX 77023",Harris,I,GULFGATE RIVERVIEW / PINE VALLEY,0690520050012,SE,SE,TUESDAY,3rd Thursday,TUESDAY-A,534F,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-08-27 16:00:14,2020-08-31 16:00:14,2020-08-31 10:24:19,-0.23,Flooding,,,29.71387245,-95.32631704,WEB
12439530-101004246385,"1213 DUNLAVY, HOUSTON TX 77019",Harris,C,NEARTOWN - MONTROSE,0520700020009,NW,NE,MONDAY,1st Wednesday,MONDAY-A,492R,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-08-28 10:31:27,2020-09-01 10:31:26,2020-08-28 10:59:18,-3.98,Flooding - 416636,-95.40231000000,29.75555000000,29.75552348,-95.40213614,WAP
12439586-101004247283,"9522 MOORBERRY, HOUSTON TX 77080",Harris,A,SPRING BRANCH NORTH,1001950000011,NW,NE,FRIDAY,4th Friday,FRIDAY-A,450P,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-08-28 20:16:14,2020-09-01 20:16:13,2020-08-31 09:39:18,-1.44,Flooding - 416697,-95.53385000000,29.81514000000,29.81507615,-95.53402692,WAP
12439874-101004252033,"1010 ADKINS, SPRING VALLEY TX 77055",,,,,,,,,,490C,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-02 13:17:08,2020-09-06 13:17:08,2020-09-03 07:29:19,-3.24,Flooding,,,29.78592305,-95.51955525,WEB
12439997-101004263916,"6319 BELARBOR, HOUSTON TX 77087",Harris,I,GOLFCREST / BELLFORT / REVEILLE,0825900000012,SE,SE,TUESDAY,3rd Monday,TUESDAY-A,534Y,HCID #9,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-03 14:23:13,2020-09-07 14:21:00,2020-09-08 09:29:19,0.80,Flooding-101004263916,3138465.98243000000,13808149.96064000000,29.66604964,-95.31529082,SMS In
413939-101004264615,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-04 00:17:12,2020-09-08 00:17:12,2020-09-04 14:59:21,-3.39,Flooding - 413939,-95.40756000000,29.74453000000,Unknown,Unknown,WAP
12440044-101004265045,"4204 FIDELITY, JACINTO CITY TX 77029",,,,,,,,,,495M,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-04 08:30:21,2020-09-08 08:30:21,2020-09-04 09:04:19,-3.98,Flooding,,,29.76363302,-95.25539862,WEB
101004265663,"211 BLUE WILLOW, HOUSTON TX 77042",Harris,G,BRIAR FOREST,0982930000001,,,,,,489L,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-04 14:18:33,2020-09-08 14:17:00,2020-09-04 15:15:56,-3.96,Flooding,,,29.75810628,-95.56296353,SMS In
417990-101004267136,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-07 00:12:26,2020-09-11 00:12:26,2020-09-08 17:01:36,-2.30,Flooding - 417990,-95.40710000000,29.74396000000,Unknown,Unknown,WAP
12440216-101004267492,"11258 HAZEN, HOUSTON TX 77072",Harris,F,ALIEF,1013570000026,SW,SW,MONDAY,1st Wednesday,MONDAY-B,529P,International MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-07 15:32:53,2020-09-11 15:32:52,2020-09-08 09:39:18,-3.25,Flooding-101004267492,3054717.21227000000,13814259.56686000000,29.68984004,-95.57833145,Voice In
12440301-101004268350,"4811 MACRIDGE, HOUSTON TX 77053",Harris,K,CENTRAL SOUTHWEST,0990660000041,SW,SW,FRIDAY,4th Thursday,FRIDAY-B,571Z,Five Corners HCID #10B,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-08 13:06:20,2020-09-12 13:06:20,2020-09-08 13:24:18,-3.99,Flooding,,,29.60288941,-95.45159547,WEB
12440551-101004271552,"2904 CHENEVERT, HOUSTON TX 77004",Harris,D,MIDTOWN,1292180000002,NW,NE,MONDAY,1st Wednesday,MONDAY-A,493U,Midtown MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-10 15:55:22,2020-09-14 15:55:21,2020-09-11 08:24:19,-3.31,Flooding-101004271552,3120511.87792000000,13834131.23283000000,29.73900847,-95.36925971,Voice In
12440557-101004271626,"1634 COLUMBIA, HOUSTON TX 77008",Harris,C,GREATER HEIGHTS,0201090000037,NW,NE,THURSDAY,3rd Wednesday,THURSDAY-B,453S,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-10 16:37:59,2020-09-14 16:37:58,2020-09-11 13:14:18,-3.14,Flooding-101004271626,3112286.72475000000,13856520.98923000000,29.80125062,-95.39299037,Voice In
101004274526,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-14 08:58:22,2020-09-18 08:54:00,2020-09-14 10:21:52,-3.94,Flooding-101004274526,,,Unknown,Unknown,Unknown
12440819-101004274702,"8409 W MONTGOMERY, HOUSTON TX 77088",Harris,B,ACRES HOME,0162650150002,NW,NW,TUESDAY,4th Tuesday,TUESDAY-B,412T,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-14 10:13:50,2020-09-18 10:13:00,2020-09-22 13:34:19,4.14,Flooding-101004274702-101004274702,3097833.66737000000,13881120.85144000000,29.87008543,-95.43617744,e-mail In
12441456-101004282628,Intersection 4328 ELGIN ST&2300 S LOCKWOOD DR,Harris County,D,GREATER THIRD WARD,,,,,,,494W,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-20 16:47:31,2020-09-24 16:47:30,2020-09-20 17:09:18,-3.98,Flooding-101004282628,3130515.73751000000,13829793.75331000000,29.72622849,-95.33817943,Voice In
12441467-101004282736,"2417 HAZARD, HOUSTON TX 77019",Harris,C,NEARTOWN - MONTROSE,0291720070029,NW,NE,MONDAY,1st Wednesday,MONDAY-A,492V,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 00:06:24,2020-09-25 00:06:24,2020-09-21 00:59:19,-3.96,Flooding - 419989,-95.40685000000,29.74409000000,29.74409513,-95.40684179,WAP
12441485-101004282836,Intersection 5500 EAST FWY&1376 LOCKWOOD DR,Harris County,B,GREATER FIFTH WARD,,,,,,,494G,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 07:16:07,2020-09-25 07:16:06,2020-09-21 09:39:19,-3.90,Flooding-101004282836,3137274.06848000000,13847335.46429000000,29.773861,-95.31515506,Voice In
12441536-101004283417,"4000 ELGIN, HOUSTON TX 77004",Harris,D,GREATER THIRD WARD,0410070120003,,,,,,494W,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 12:01:19,2020-09-25 11:57:00,2020-09-21 13:04:19,-3.95,Flooding-101004283417,3128289.77280000000,13829955.07418000000,29.72686336,-95.34517358,Voice In
12441570-101004283757,Intersection 4900 TEXAS SPUR 5&4900 WHEELER ST,Harris County,D,GREATER THIRD WARD,,,,,,,534A,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 15:04:23,2020-09-25 15:04:23,2020-09-23 10:34:18,-2.19,Flooding-101004283757,3131699.39951000000,13825950.55857000000,29.71556279,-95.33483126,Voice In
12441575-101004283800,Intersection 7700 FUQUA ST&10600 TELEPHONE RD,Harris County,D,GREATER HOBBY AREA,,SE,SE,,4th Monday,FRIDAY-B,575S,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 15:31:48,2020-09-25 15:31:48,2020-09-22 09:24:18,-3.26,Flooding-101004283800,3148512.89705000000,13788676.29126000000,29.61164812,-95.28561732,Voice In
12441592-101004283942,"1807 CHANTILLY, HOUSTON TX 77018",Harris,C,CENTRAL NORTHWEST,0731000720014,NW,NE,TUESDAY,3rd Thursday,TUESDAY-B,452J,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 16:55:09,2020-09-25 16:55:09,2020-09-22 15:19:19,-3.07,Flooding-101004283942,3095472.59139000000,13865817.27214000000,29.82821864,-95.44509116,Voice In
12441596-101004283978,"14125 REGG, HOUSTON TX 77045",Harris,K,CENTRAL SOUTHWEST,0681240070014,SW,SW,FRIDAY,4th Tuesday,FRIDAY-B,572N,Five Corners HCID #10B,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 17:24:49,2020-09-25 17:24:49,2020-09-22 10:44:19,-3.28,Flooding-101004283978,3099646.00036000000,13791083.31334000000,29.62244385,-95.43911026,Voice In
101004284070,"1701 CHANTILLY, HOUSTON TX 77018",Harris,C,CENTRAL NORTHWEST,0731000370016,NW,NE,TUESDAY,3rd Thursday,TUESDAY-B,452J,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 19:00:05,2020-09-25 19:00:04,2020-09-21 19:22:08,-3.98,Flooding,,,29.82824821,-95.443121,Voice In
12441614-101004284103,"13218 ELAINE, HOUSTON TX 77047",Harris,D,CENTRAL SOUTHWEST,0432140000085,SW,SW,FRIDAY,4th Thursday,FRIDAY-B,572R,Five Corners HCID #10B,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 20:10:32,2020-09-25 20:10:32,2020-09-22 11:39:19,-3.36,Flooding-101004284103,3112535.56054000000,13789497.24565000000,29.61699879,-95.39871264,Voice In
12441620-101004284124,"5607 OAKHAM, HOUSTON TX 77085",Harris,K,CENTRAL SOUTHWEST,0882890000009,SW,SW,FRIDAY,4th Wednesday,FRIDAY-A,571Q,Five Corners HCID #10B,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 20:33:23,2020-09-25 20:33:23,2020-09-22 11:54:18,-3.36,Flooding-101004284124,3090876.34139000000,13789823.48844000000,29.61971214,-95.46682039,Voice In
12441623-101004284129,"3211 KNOLL WEST, HOUSTON TX 77082",Harris,F,ELDRIDGE / WEST OAKS,1144450100031,SW,SW,MONDAY,1st Thursday,MONDAY-A,488Y,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 20:43:21,2020-09-25 20:43:21,2020-09-22 16:39:19,-3.17,Flooding-101004284129,3043738.62169000000,13827893.93395000000,29.72819818,-95.61165142,Voice In
12441625-101004284135,"10138 OBOE, HOUSTON TX 77025",Harris,K,WILLOW MEADOWS / WILLOWBEND AREA,0805760000014,SW,SE,THURSDAY,3rd Tuesday,THURSDAY-A,532S,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 20:55:59,2020-09-25 20:55:59,2020-09-22 13:39:19,-3.30,Flooding-101004284135,3097129.25605000000,13808626.06336000000,29.67087618,-95.44535016,Voice In
12441629-101004284141,"5634 IRISH HILL, HOUSTON TX 77053",Fort Bend,K,FORT BEND HOUSTON,6200010012200907,SW,SW,FRIDAY,4th Wednesday,FRIDAY-A,571X,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 21:08:02,2020-09-25 21:08:02,2020-09-22 10:29:18,-3.44,Flooding,,,29.59796853,-95.47070164,WEB
12441630-101004284143,"15802 DANFORD, HOUSTON TX 77053",Fort Bend,K,FORT BEND HOUSTON,6200010012900907,SW,SW,FRIDAY,4th Wednesday,FRIDAY-A,571X,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 21:12:15,2020-09-25 21:12:14,2020-09-22 20:29:19,-3.03,Flooding-101004284143,3089649.86878000000,13781564.38980000000,29.59711085,-95.4714631,Voice In
12441631-101004284147,"12706 KIEV HILLS, HOUSTON TX 77047",Harris,D,CENTRAL SOUTHWEST,1301310020002,,,,,,572R,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 21:22:19,2020-09-25 21:22:19,2020-09-22 11:44:19,-3.40,Flooding,,,29.62137841,-95.40426366,WEB
12441633-101004284156,"11502 BROOKLEDGE, HOUSTON TX 77099",Harris,F,ALIEF,1025140000022,SW,SW,MONDAY,1st Monday,MONDAY-B,529X,International MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 21:31:08,2020-09-25 21:31:08,2020-09-22 10:34:18,-3.46,Flooding-101004284156,3054004.68089000000,13803584.75356000000,29.66055341,-95.58155731,Voice In
12441634-101004284157,"4311 TIDEWATER, HOUSTON TX 77045",Harris,K,CENTRAL SOUTHWEST,0914380000005,SW,SW,FRIDAY,4th Monday,FRIDAY-B,572J,Five Corners HCID #10B,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 21:32:51,2020-09-25 21:32:51,2020-09-22 11:19:18,-3.43,Flooding-101004284157,3098319.21791000000,13795022.28939000000,29.63338244,-95.44290741,Voice In
12441636-101004284160,"12830 ALMEDA CROSSING, HOUSTON TX 77048",Harris,D,SOUTH ACRES / CRESTMONT PARK,1287890010001,SE,SE,FRIDAY,4th Tuesday,FRIDAY-B,574N,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 21:37:49,2020-09-25 21:37:49,2020-09-22 12:54:19,-3.36,Flooding-101004284160,3130535.31030000000,13792358.18940000000,29.6233268,-95.34180663,Voice In
12441640-101004284171,Intersection 15200 MAIN ST&9052 S SAM HOUSTON PKWY W,Harris County,K,FONDREN GARDENS,,,,,,,570L,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 22:02:17,2020-09-25 22:02:17,2020-09-22 12:29:19,-3.40,Flooding-101004284171,3074693.42330000000,13791839.19438000000,29.62658772,-95.51754412,Voice In
12441641-101004284176,"5606 VALKEITH, HOUSTON TX 77096",Harris,C,MEYERLAND AREA,0942040000014,SW,SW,TUESDAY,2nd Wednesday,TUESDAY-B,531T,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 22:16:08,2020-09-25 22:16:08,2020-09-22 13:49:19,-3.35,Flooding - 420299,-95.48302000000,29.67221000000,29.67225684,-95.48310726,WAP
12441646-101004284187,"10708 BELLFORT, HOUSTON TX 77099",Harris,F,ALIEF,0441040000085,,,,,,569C,International MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 22:39:52,2020-09-25 22:39:51,2020-09-22 15:09:19,-3.31,Flooding-101004284187,3058526.27453000000,13801652.55139000000,29.65487781,-95.56750472,Voice In
12441648-101004284197,"10401 ROCKLEY, HOUSTON TX 77099",Harris,J,ALIEF,1145910020013,,,,,,529Y,International MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-21 22:55:37,2020-09-25 22:55:37,2020-09-22 10:59:19,-3.50,Flooding-101004284197,3060610.89405000000,13804225.70471000000,29.66178274,-95.56070581,Voice In
12441654-101004284224,"7545 BELLERIVE, HOUSTON TX 77036",Harris,J,SHARPSTOWN,1005610000019,,,,,,530C,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 00:05:42,2020-09-26 00:05:42,2020-09-22 13:09:19,-3.46,Flooding - 420293,-95.51806000000,29.71299000000,29.71283259,-95.51782754,WAP
12441655-101004284225,"4670 BEECHNUT, HOUSTON TX 77025",Harris,C,MEYERLAND AREA,0440360000021,,,,,,531R,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 00:05:45,2020-09-26 00:05:45,2020-09-22 13:34:19,-3.44,Flooding - 420300,-95.45723000000,29.68919000000,29.68955779,-95.45723781,WAP
12441666-101004284255,Intersection 3960 DUNVALE RD&8600 WESTPARK DR,Harris County,J,MID WEST,,,,,,,530C,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 01:26:15,2020-09-26 01:26:15,2020-09-22 12:29:19,-3.54,Flooding-101004284255,3074801.47492000000,13826564.17513000000,29.72203262,-95.51394655,Voice In
12441671-101004284272,Intersection 7700 S SAM HOUSTON PKWY E&11400 TELEPHONE RD,Harris County,D,GREATER HOBBY AREA,,,,,,,575W,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 03:42:09,2020-09-26 03:42:09,2020-09-22 12:04:19,-3.65,Flooding-101004284272,3148397.33593000000,13784328.98925000000,29.59970865,-95.28641521,Voice In
12441679-101004284296,Intersection 6600 LAWNDALE ST&1200 S WAYSIDE ST,Harris County,I,LAWNDALE / WAYSIDE,,,,,,,534C,East End MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 05:49:29,2020-09-26 05:49:29,2020-09-22 10:59:19,-3.78,Flooding-101004284296,3139068.59048000000,13829525.62065000000,29.72475244,-95.31127156,Voice In
12441691-101004284324,Intersection 1900 HULDY ST&2030 VERMONT ST,Harris County,C,NEARTOWN - MONTROSE,,NW,NE,,1st Wednesday,MONDAY-A,492R,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 07:04:23,2020-09-26 07:04:23,2020-09-22 11:09:18,-3.83,Flooding-101004284324,3107548.00621000000,13837405.66525000000,29.74910937,-95.40977481,Voice In
12441693-101004284329,"9102 CATHEY, HOUSTON TX 77080",Harris,A,SPRING BRANCH CENTRAL,0651050000007,NW,NE,FRIDAY,4th Thursday,FRIDAY-A,450U,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 07:08:51,2020-09-26 07:08:50,2020-09-22 10:09:19,-3.87,Flooding-101004284329,3073858.00568000000,13857221.49701000000,29.80638025,-95.51403913,Voice In
101004284334,"10722 OLYMPIA, HOUSTON TX 77042",Harris,G,BRIAR FOREST,0923580000003,,,,,,489U,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 07:15:45,2020-09-26 07:15:45,2020-09-22 07:16:37,-4.00,Flooding,,,29.7437096,-95.56639926,Voice In
12441695-101004284340,Intersection 6346 GRIGGS RD&6500 GULF FWY,Harris County,I,GULFGATE RIVERVIEW / PINE VALLEY,,,,,3rd Thursday,,534H,East End MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 07:26:01,2020-09-26 07:26:01,2020-09-22 13:34:19,-3.74,Flooding,,,29.70829782,-95.30570988,Unknown
12441698-101004284346,Intersection 5100 GLENMONT DR&5700 S RICE AVE,Harris County,J,,,,,,,,531C,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 07:30:26,2020-09-26 07:30:26,2020-09-22 10:49:18,-3.86,Flooding-101004284346,3089368.46777000000,13826339.39277000000,29.72021298,-95.46809378,Voice In
12441697-101004284348,Intersection 500 MAPLE WAY&700 WESTMONT DR,Harris County,E,NORTHSHORE,,NE,NE,,1st Monday,THURSDAY-A,496H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 07:32:13,2020-09-26 07:32:13,2020-09-22 12:54:19,-3.78,Flooding,,,29.77781684,-95.19898993,Unknown
12441703-101004284358,Intersection 0 MEMORIAL SERVICE RD&2 SHEPHERD DR,Harris County,C,WASHINGTON AVENUE COALITION / MEMORIAL P,,,,,,,492M,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 07:38:43,2020-09-26 07:38:43,2020-09-22 13:49:19,-3.74,Flooding-101004284358,3107690.60238000000,13841910.69529000000,29.76148037,-95.40888975,Voice In
12441702-101004284359,Intersection 890 COMMERCE ST&100 TRAVIS ST,Harris County,I,DOWNTOWN,,,,,,,493L,Houston Downtown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 07:38:51,2020-09-26 07:38:51,2020-09-22 09:54:19,-3.91,Flooding,,,29.76435674,-95.36051932,Unknown
12441710-101004284367,"11402 KIRKHOLLOW, HOUSTON TX 77089",Harris,D,SOUTH BELT / ELLINGTON,1001390000018,SE,SW,THURSDAY,2nd Thursday,THURSDAY-B,576X,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 07:47:32,2020-09-26 07:47:32,2020-09-22 16:29:19,-3.64,Flooding-101004284367,3165505.54515000000,13786149.44657000000,29.60320798,-95.23242164,Voice In
12441709-101004284368,Intersection 5120 OLD SPANISH TRL&4912 TEXAS SPUR 5,Harris County,D,GREATER OST / SOUTH UNION,,,,,,,534F,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 07:48:12,2020-09-26 07:48:12,2020-09-22 11:29:19,-3.85,Flooding-101004284368,3132343.33031000000,13823874.97053000000,29.70980214,-95.3330086,Voice In
12441723-101004284414,"3203 GREENS, HOUSTON TX 77032",Harris,B,IAH / AIRPORT AREA,0441120001003,,,,,,374P,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 08:16:05,2020-09-26 08:16:05,2020-09-22 11:19:18,-3.87,Flooding - 420339,-95.33683000000,29.95242000000,29.9519618,-95.33784221,WAP
12441724-101004284415,"6213 TANAGER, HOUSTON TX 77074",Harris,C,BRAEBURN,0801790000006,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530R,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 08:16:08,2020-09-26 08:16:08,2020-09-22 14:49:19,-3.73,Flooding - 420340,-95.50142000000,29.68800000000,29.68803081,-95.5014554,WAP
12441723-101004284417,"3203 GREENS, HOUSTON TX 77032",Harris,B,IAH / AIRPORT AREA,0441120001003,,,,,,374P,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 08:16:14,2020-09-26 08:16:14,2020-09-22 08:16:34,-4.00,Flooding - 420338,-95.33676000000,29.95232000000,29.9519618,-95.33784221,WAP
12441726-101004284421,"720 PAIGE, HOUSTON TX 77003",Harris,I,DOWNTOWN,1283570010002,SE,SE,MONDAY,1st Friday,MONDAY-A,494N,East Downtown MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 08:18:08,2020-09-26 08:18:07,2020-09-22 10:04:18,-3.93,Flooding-101004284421,3127309.85580000000,13837955.35182000000,29.74893776,-95.34747245,Voice In
12441730-101004284437,"11226 IVYRIDGE, HOUSTON TX 77043",Harris,A,SPRING BRANCH WEST,0964180000032,,,,,,449X,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 08:25:59,2020-09-26 08:25:59,2020-09-22 13:39:19,-3.78,Flooding-101004284437,3052613.74896000000,13852803.74535000000,29.79596112,-95.58140561,Voice In
12441737-101004284440,"10902 BALLANTINE, HOUSTON TX 77075",Harris,D,GREATER HOBBY AREA,0983660000011,SE,SE,FRIDAY,4th Monday,FRIDAY-B,575T,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 08:28:40,2020-09-26 08:28:39,2020-09-22 20:34:19,-3.50,Flooding-101004284440,3150980.93017000000,13787520.84934000000,29.60825637,-95.27796953,Voice In
12441739-101004284463,"3227 KNOLL WEST, HOUSTON TX 77082",Harris,F,ELDRIDGE / WEST OAKS,1144450100035,SW,SW,MONDAY,1st Thursday,MONDAY-A,488Y,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 08:42:05,2020-09-26 08:42:05,2020-09-22 16:29:19,-3.68,Flooding-101004284463,3043746.04195000000,13827678.34284000000,29.72760496,-95.61164773,Voice In
12441749-101004284480,"5939 RIDGEWAY, HOUSTON TX 77033",Harris,D,SOUTH PARK,0790300250027,SE,SE,FRIDAY,4th Wednesday,FRIDAY-A,534X,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 08:51:47,2020-09-26 08:51:46,2020-09-22 14:44:18,-3.76,Flooding-101004284480,3133554.74947000000,13809092.51617000000,29.66906503,-95.33065506,Voice In
12441746-101004284486,"6825 LONDON, HOUSTON TX 77021",Harris,D,GREATER OST / SOUTH UNION,0572810180007,SE,SW,TUESDAY,3rd Tuesday,TUESDAY-A,533R,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 08:53:33,2020-09-26 08:53:33,2020-09-22 13:24:19,-3.81,Flooding-101004284486,3126271.09836000000,13815824.12213000000,29.68819479,-95.35291909,Voice In
12441759-101004284525,"8113 LANHAM, HOUSTON TX 77075",Harris,D,GREATER HOBBY AREA,0772800380037,SE,SE,FRIDAY,4th Monday,FRIDAY-B,575P,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-09-22 09:10:57,2020-09-26 09:10:57,2020-09-22 15:59:19,-3.72,Flooding-101004284525,3152027.78044000000,13793021.27174000000,29.62328381,-95.27412525,Voice In
